video_id,title,channel_title,category_name,country,views,likes,dislikes,comment_count,like_ratio,comment_ratio,title_sentiment,publish_time,publish_day,publish_hour
Wfg-CF6dTHg,"John Cena Attacks Randy Orton's Family, Career | FULL SEGMENT | WWE SmackDown 5/9/25 | WWE on USA",WWE on USA,Sports,US,608035,13913,0,3313,0.9999,0.0054,0.35,2025-05-10 03:08:55+00:00,Saturday,3
AD4nWHdpmcU,Il s'est caché dans le brouillard pour la piéger ! - FLIPPE & GO SLEEP #7 (ft. Thomas Deseur),Maghla,Entertainment,FR,606331,32638,0,914,1,0.0015,0,2025-05-09 15:00:28+00:00,Friday,15
pOlcRFwEmc0,The all-knowing lie detector | Chris & Jack,Chris and Jack,Comedy,US,606209,76115,0,1733,1,0.0029,0,2025-05-09 13:01:27+00:00,Friday,13
gmpCylInKok,MANGIO per 48H solo CIBO dei CARTONI ANIMATI!!,diEFFE,Comedy,IT,595152,32229,0,637,1,0.0011,0,2025-05-08 12:01:15+00:00,Thursday,12
cFkUAzj4Awg,PSG - Arsenal  2-1 (3-1) Gol & Highlights | Champions League | MIRACOLI DONNARUMMA,Prime Video Sport IT,Sports,IT,587932,5674,0,595,0.9998,0.001,0,2025-05-07 21:08:25+00:00,Wednesday,21
W0gxFusqflA,"VECINO riprende KOLO MUANI al 96', stop TUDOR: Lazio-Juventus 1-1 | Serie A | DAZN Highlights",DAZN Italia,Sports,IT,569505,7202,0,1087,0.9999,0.0019,0,2025-05-10 20:58:06+00:00,Saturday,20
qXOGP9pr-Ik,"Pope Leo XIV's brothers describe growing up with new pontiff, his path to papacy",CBS News,News & Politics,US,566472,8287,0,1005,0.9999,0.0018,0.136,2025-05-09 21:17:14+00:00,Friday,21
R3NDRL730I8,L’annuncio ed il discorso del nuovo Papa Leone XIV. Il commento di Mentana,TG La7,Entertainment,IT,555743,10131,0,2158,0.9999,0.0039,0,2025-05-08 18:11:33+00:00,Thursday,18
6G9LfDdWkZ8,WARUM SAGST DU SCHW*NZ,Hungriger Hugo,Entertainment,DE,555534,34646,0,392,1,0.0007,0,2025-05-09 12:00:24+00:00,Friday,12
sTE4NUp5e4I,"Résumé UFC 315 : Saint Denis vs Prepolec, le Français s'est-il relevé ?",RMCSport,Sports,FR,553918,0,0,1582,0,0.0029,0,2025-05-11 03:36:21+00:00,Sunday,3
sK5MD22qdI0,राजेश्वरी पहली बार सैफ अली खान को देख कर दीवानी हो गई | Akshay | Saif Ali | Main Khiladi Tu Anari,Venus Movies,Entertainment,IN,541686,3020,0,107,0.9997,0.0002,0.167,2025-05-09 11:30:42+00:00,Friday,11
kWoEQoRdb3Y,Chi vincerebbe il pallone d'oro ad oggi? ⚽️🥇,La Gazzetta dello Sport,Sports,IT,524856,29261,0,527,1,0.001,0,2025-05-06 11:42:00+00:00,Tuesday,11
